model,current_component_count_mae,baseline_component_count_mae,delta_component_count_mae,improvement_component_count_mae_pct,current_reconstruction_rmse,baseline_reconstruction_rmse,delta_reconstruction_rmse,improvement_reconstruction_rmse_pct,current_line_amplitude_mae,current_element_amount_mae,current_has_nonfinite,baseline_has_nonfinite
main_dcasp,0.7191411852836609,2.445317968726158,-1.7261767834424973,70.59109717096284,14.172817051410675,38.2758092880249,-24.102992236614227,62.97186835486499,934.5660247802734,558.5001697540283,False,False
baseline_b_cnn,0.6607445105910301,12.40374904870987,-11.74300453811884,94.67302580859813,38.498141288757324,37.62764239311218,0.8704988956451416,-2.3134558539455243,812.2440757751465,502.6672191619873,False,False
baseline_c_inception,0.6096742562949657,18.9542133808136,-18.344539124518633,96.78343677974995,38.503201961517334,37.73413109779358,0.7690708637237549,-2.038130576614032,812.1701927185059,502.44235610961914,False,False
